"Timestamp","Date","Author","Reviewer","Branch","PassedReview","ReviewMinutes"
"4/10/2017 17:07:46",2017-04-10,"A2","R2",1010,"yes",15
"4/10/2017 17:08:10",2017-04-10,"A2","R2",1011,"yes",15
"4/12/2017 7:10:30",2017-04-12,"A1","R1",823,"no",18
"4/12/2017 7:29:08",2017-04-12,"A1","R1",868,"no",18
"4/13/2017 7:51:34",2017-04-13,"A1","R1",906,"yes",30
"4/17/2017 10:14:00",2017-04-17,"A1","R1",969,"yes",62
"4/17/2017 11:03:53",2017-04-17,"A1","R1",1052,"no",42
"4/18/2017 7:36:38",2017-04-18,"A1","R1",1059,"yes",11
"4/18/2017 11:13:37",2017-04-18,"A2","R2",919,"yes",5
"4/19/2017 8:01:33",2017-04-19,"A1","R1",1074,"no",41
"4/21/2017 7:06:33",2017-04-21,"A1","R1",1052,"yes",35
"4/21/2017 7:25:57",2017-04-21,"A1","R1",1052,"yes",12
"4/22/2017 7:34:30",2017-04-22,"A1","R1",1068,"yes",35
"4/24/2017 7:49:17",2017-04-24,"A1","R1",1052,"no",120
"4/26/2017 11:02:05",2017-04-26,"A1","R1",1052,"no",120
"4/26/2017 15:17:30",2017-04-26,"A2","R2",1053,"yes",15
"4/28/2017 7:45:33",2017-04-28,"A1","R1",1052,"yes",65
"4/28/2017 10:58:38",2017-04-28,"A1","R1",1074,"no",62
"4/28/2017 11:38:48",2017-04-28,"A1","R1",1066,"no",38
"5/1/2017 9:51:12",2017-05-01,"A1","R1",1066,"yes",140
"5/4/2017 7:25:01",2017-05-04,"A1","R1",1098,"yes",32
"5/4/2017 10:51:21",2017-05-04,"A1","R1",1074,"no",120
"5/4/2017 11:47:58",2017-05-04,"A1","R1",1067,"no",50
"5/5/2017 10:49:04",2017-05-05,"A1","R1",1074,"yes",120
"5/5/2017 11:33:27",2017-05-05,"A1","R1",1074,"no",20
"5/6/2017 7:31:24",2017-05-06,"A1","R1",1074,"yes",24
"5/9/2017 7:54:00",2017-05-09,"A1","R1",1067,"no",105
"5/11/2017 7:21:29",2017-05-11,"A1","R1",1099,"no",63
"5/11/2017 10:50:27",2017-05-11,"A1","R1",1054,"no",2
"5/12/2017 7:59:29",2017-05-12,"A1","R1",1099,"no",30
"5/12/2017 11:08:15",2017-05-12,"A1","R1",1054,"yes",25
"5/13/2017 6:47:34",2017-05-13,"A1","R1",1115,"yes",9
"5/14/2017 6:57:56",2017-05-14,"A1","R1",1067,"yes",70
"5/15/2017 10:16:20",2017-05-15,"A1","R1",1072,"yes",65
"5/15/2017 14:12:26",2017-05-15,"A2","R2",1112,"yes",45
"5/16/2017 7:36:08",2017-05-16,"A1","R1",1069,"no",60
"5/17/2017 6:57:19",2017-05-17,"A1","R1",1069,"yes",33
"5/17/2017 9:48:55",2017-05-17,"A1","R1",1104,"yes",13
"5/17/2017 9:57:40",2017-05-17,"A1","R1",1104,"yes",12
"5/17/2017 10:33:41",2017-05-17,"A1","R1",1104,"no",30
"5/18/2017 6:29:56",2017-05-18,"A1","R1",1094,"yes",15
"5/18/2017 6:52:23",2017-05-18,"A1","R1",1078,"yes",22
"5/18/2017 7:01:24",2017-05-18,"A1","R1",1109,"yes",6
"5/18/2017 7:39:10",2017-05-18,"A1","R1",1110,"no",35
"5/19/2017 6:17:19",2017-05-19,"A1","R1",1110,"yes",17
"5/19/2017 7:50:53",2017-05-19,"A1","R1",1104,"no",88
"5/24/2017 7:15:31",2017-05-24,"A1","R1",1127,"yes",50
"5/24/2017 11:27:12",2017-05-23,"A2","R2",1126,"yes",30
"5/25/2017 7:13:28",2017-05-25,"A1","R1",1111,"no",32
"5/25/2017 7:43:36",2017-05-25,"A1","R1",1130,"no",25
"5/25/2017 7:56:15",2017-05-25,"A1","R1",1116,"yes",11
"5/26/2017 10:28:43",2017-05-26,"A2","R2",1125,"yes",30
"5/29/2017 7:06:34",2017-05-29,"A1","R1",1104,"yes",36
"5/30/2017 7:57:23",2017-05-30,"A1","R1",1129,"yes",47
"5/31/2017 6:45:54",2017-05-31,"A1","R1",1137,"yes",14
"5/31/2017 7:12:36",2017-05-31,"A1","R1",1137,"yes",24
"5/31/2017 7:58:10",2017-05-31,"A1","R1",1104,"no",29
"5/31/2017 10:39:22",2017-05-31,"A1","R1",1108,"no",10
"5/31/2017 11:12:57",2017-05-31,"A1","R1",1104,"yes",32
"6/1/2017 6:51:00",2017-06-01,"A1","R1",1147,"yes",11
"6/1/2017 9:59:46",2017-06-01,"A1","R1",1108,"yes",31
"6/2/2017 9:04:58",2017-06-02,"A1","R1",1141,"yes",16
"6/2/2017 11:20:36",2017-06-02,"A2","R2",1148,"yes",15
